<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
AAA.US,D,20210630,000000,24.98,24.98,24.95,24.965,3128,0
AAA.US,D,20210701,000000,24.935,24.935,24.935,24.935,52,0
AAA.US,D,20210702,000000,24.92,24.94,24.92,24.94,494,0
AAA.US,D,20210706,000000,24.945,24.945,24.945,24.945,433,0
AAA.US,D,20210707,000000,24.94,24.945,24.94,24.945,115,0
AAA.US,D,20210708,000000,24.945,24.945,24.945,24.945,82,0
AAA.US,D,20210709,000000,24.93,24.945,24.93,24.945,612,0
AAA.US,D,20210712,000000,24.945,24.945,24.945,24.945,35,0
AAA.US,D,20210713,000000,24.95,24.95,24.94,24.94,2212,0
AAA.US,D,20210714,000000,24.95,24.95,24.95,24.95,354,0
AAA.US,D,20210715,000000,24.95,24.95,24.95,24.95,22,0
AAA.US,D,20210716,000000,24.954,24.954,24.95,24.95,1028,0
AAA.US,D,20210719,000000,24.94,24.96,24.94,24.955,3131,0
AAA.US,D,20210720,000000,24.961,24.961,24.955,24.955,1309,0
AAA.US,D,20210721,000000,24.959,24.959,24.94,24.955,1403,0
AAA.US,D,20210722,000000,24.96,24.96,24.96,24.96,2,0
AAA.US,D,20210723,000000,24.96,24.96,24.96,24.96,14,0
AAA.US,D,20210726,000000,24.96,24.96,24.96,24.96,479,0
AAA.US,D,20210727,000000,24.97,24.97,24.93,24.96,1554,0
AAA.US,D,20210728,000000,24.958,24.96,24.958,24.96,943,0
AAA.US,D,20210729,000000,24.96,24.965,24.96,24.965,588,0
AAA.US,D,20210730,000000,24.965,24.965,24.965,24.965,175,0
AAA.US,D,20210802,000000,24.94,24.94,24.94,24.94,23,0
AAA.US,D,20210803,000000,24.945,24.945,24.945,24.945,105,0
AAA.US,D,20210804,000000,24.945,24.945,24.93,24.945,304,0
AAA.US,D,20210805,000000,24.95,24.95,24.95,24.95,53,0
AAA.US,D,20210806,000000,24.94,24.95,24.94,24.95,461,0
AAA.US,D,20210809,000000,24.94,24.95,24.94,24.95,1315,0
AAA.US,D,20210810,000000,24.95,24.95,24.95,24.95,364,0
AAA.US,D,20210811,000000,24.955,24.955,24.955,24.955,11,0
AAA.US,D,20210812,000000,24.95,24.951,24.95,24.95,331,0
AAA.US,D,20210813,000000,24.95,24.95,24.95,24.95,133,0
AAA.US,D,20210816,000000,24.95,24.955,24.94,24.955,1244,0
AAA.US,D,20210817,000000,24.94,24.955,24.94,24.955,651,0
AAA.US,D,20210818,000000,24.956,24.96,24.956,24.956,302,0
AAA.US,D,20210819,000000,24.955,24.955,24.955,24.955,71,0
AAA.US,D,20210820,000000,24.95,24.955,24.95,24.955,654,0
AAA.US,D,20210823,000000,24.94,24.955,24.94,24.955,222,0
AAA.US,D,20210824,000000,24.97,24.97,24.955,24.955,264,0
AAA.US,D,20210825,000000,24.94,24.955,24.94,24.955,511,0
AAA.US,D,20210826,000000,24.97,24.97,24.955,24.955,133,0
AAA.US,D,20210827,000000,24.95,24.955,24.95,24.955,100,0
AAA.US,D,20210830,000000,24.96,24.96,24.96,24.96,59,0
AAA.US,D,20210831,000000,24.96,24.965,24.96,24.965,754,0
AAA.US,D,20210901,000000,24.951,24.96,24.951,24.96,220,0
AAA.US,D,20210902,000000,24.96,24.97,24.96,24.96,225,0
AAA.US,D,20210903,000000,24.95,24.965,24.95,24.965,202,0
AAA.US,D,20210907,000000,24.965,24.965,24.965,24.965,48,0
AAA.US,D,20210908,000000,24.965,24.98,24.965,24.965,281,0
AAA.US,D,20210909,000000,24.969,24.969,24.965,24.965,127,0
AAA.US,D,20210910,000000,24.96,24.965,24.96,24.965,219,0
AAA.US,D,20210913,000000,24.96,24.965,24.96,24.965,1671,0
AAA.US,D,20210914,000000,24.961,24.97,24.961,24.97,178,0
AAA.US,D,20210915,000000,24.965,24.965,24.965,24.965,1,0
AAA.US,D,20210916,000000,24.965,24.965,24.965,24.965,100,0
AAA.US,D,20210917,000000,24.97,24.97,24.965,24.965,125,0
AAA.US,D,20210920,000000,24.966,24.97,24.965,24.965,610,0
AAA.US,D,20210921,000000,24.97,24.97,24.965,24.965,105,0
AAA.US,D,20210922,000000,24.97,24.975,24.97,24.975,322,0
AAA.US,D,20210923,000000,24.975,24.975,24.975,24.975,429,0
AAA.US,D,20210924,000000,24.975,24.975,24.975,24.975,18,0
AAA.US,D,20210927,000000,24.97,24.98,24.97,24.97,807,0
AAA.US,D,20210928,000000,24.971,24.99,24.971,24.98,1230,0
AAA.US,D,20210929,000000,24.985,24.985,24.985,24.985,100,0
AAA.US,D,20210930,000000,24.98,24.98,24.97,24.97,369,0
AAA.US,D,20211001,000000,24.96,24.96,24.96,24.96,1013,0
AAA.US,D,20211004,000000,24.97,24.97,24.95,24.955,2944,0
AAA.US,D,20211005,000000,24.96,24.96,24.95,24.95,2345,0
AAA.US,D,20211006,000000,24.95,24.95,24.95,24.95,530,0
AAA.US,D,20211007,000000,24.96,24.96,24.955,24.955,1402,0
AAA.US,D,20211008,000000,24.96,24.96,24.96,24.96,3908,0
AAA.US,D,20211011,000000,24.96,24.96,24.955,24.955,722,0
AAA.US,D,20211012,000000,24.963,24.963,24.96,24.96,4814,0
AAA.US,D,20211013,000000,24.97,24.97,24.96,24.96,103,0
AAA.US,D,20211014,000000,24.96,24.96,24.96,24.96,37,0
AAA.US,D,20211015,000000,24.97,24.97,24.96,24.96,602,0
AAA.US,D,20211018,000000,24.968,24.97,24.96,24.96,664,0
AAA.US,D,20211019,000000,24.96,24.96,24.96,24.96,745,0
AAA.US,D,20211020,000000,24.97,24.97,24.96,24.96,114,0
AAA.US,D,20211021,000000,24.96,24.96,24.96,24.96,77,0
AAA.US,D,20211022,000000,24.97,24.97,24.96,24.96,1024,0
AAA.US,D,20211025,000000,24.95,24.96,24.95,24.96,121,0
AAA.US,D,20211026,000000,24.97,24.97,24.97,24.97,61,0
AAA.US,D,20211027,000000,24.98,24.98,24.97,24.97,633,0
AAA.US,D,20211028,000000,24.96,24.96,24.96,24.96,1108,0
AAA.US,D,20211029,000000,24.95,24.96,24.95,24.96,423,0
AAA.US,D,20211101,000000,24.95,24.95,24.95,24.95,100,0
AAA.US,D,20211102,000000,24.945,24.945,24.945,24.945,139,0
AAA.US,D,20211103,000000,24.94,24.95,24.94,24.95,677,0
AAA.US,D,20211104,000000,24.95,24.95,24.95,24.95,108,0
AAA.US,D,20211105,000000,24.95,24.995,24.95,24.995,1299,0
AAA.US,D,20211108,000000,25.01,25.01,25.005,25.005,172,0
AAA.US,D,20211109,000000,25.01,25.01,24.98,24.98,4266,0
AAA.US,D,20211110,000000,25.01,25.01,24.998,24.998,2909,0
AAA.US,D,20211111,000000,25.01,25.01,25.01,25.01,148,0
AAA.US,D,20211112,000000,25,25.02,24.98,24.98,2552,0
AAA.US,D,20211115,000000,24.98,25,24.98,25,493,0
AAA.US,D,20211116,000000,25.02,25.02,25,25,1066,0
AAA.US,D,20211117,000000,25.02,25.02,25.01,25.01,500,0
AAA.US,D,20211118,000000,24.98,24.999,24.98,24.999,210,0
AAA.US,D,20211119,000000,25,25,24.985,24.985,300,0
AAA.US,D,20211122,000000,25.01,25.02,25.01,25.01,536,0
AAA.US,D,20211123,000000,25,25,24.98,24.99,27891,0
AAA.US,D,20211124,000000,24.99,25,24.985,24.985,496,0
AAA.US,D,20211126,000000,24.999,24.999,24.985,24.985,525,0
AAA.US,D,20211129,000000,24.98,24.995,24.98,24.995,893,0
AAA.US,D,20211130,000000,25,25,25,25,106,0
AAA.US,D,20211201,000000,24.98,25,24.98,24.98,3343,0
AAA.US,D,20211202,000000,24.98,25,24.98,24.98,984,0
AAA.US,D,20211203,000000,24.98,24.98,24.98,24.98,380,0
AAA.US,D,20211206,000000,24.99,24.99,24.99,24.99,227,0
AAA.US,D,20211207,000000,24.98,25.005,24.98,24.995,367,0
AAA.US,D,20211208,000000,24.99,25,24.98,24.98,2964,0
AAA.US,D,20211209,000000,24.98,25.01,24.97,24.985,76040,0
AAA.US,D,20211210,000000,24.98,24.98,24.96,24.965,76649,0
AAA.US,D,20211213,000000,24.97,24.97,24.97,24.97,63,0
AAA.US,D,20211214,000000,24.98,25.02,24.98,25.01,16778,0
AAA.US,D,20211215,000000,25.02,25.02,25,25,355,0
AAA.US,D,20211216,000000,25.04,25.04,25.02,25.025,4328,0
AAA.US,D,20211217,000000,25.015,25.015,25.015,25.015,62,0
AAA.US,D,20211220,000000,25.01,25.01,25.01,25.01,42,0
AAA.US,D,20211221,000000,25.02,25.02,25.02,25.02,2,0
AAA.US,D,20211222,000000,25.01,25.01,24.995,24.995,1324,0
AAA.US,D,20211223,000000,24.99,24.995,24.99,24.995,216,0
AAA.US,D,20211227,000000,24.995,24.995,24.995,24.995,33,0
AAA.US,D,20211228,000000,25,25.012,25,25.005,400,0
AAA.US,D,20211229,000000,24.98,24.99,24.98,24.99,434,0
AAA.US,D,20211230,000000,24.99,25,24.99,24.99,101,0
AAA.US,D,20211231,000000,25,25,25,25,5,0
AAA.US,D,20220103,000000,24.98,24.98,24.98,24.98,1312,0
AAA.US,D,20220104,000000,24.98,24.98,24.98,24.98,3,0
AAA.US,D,20220105,000000,24.98,24.98,24.979,24.98,12302,0
AAA.US,D,20220106,000000,24.98,24.98,24.975,24.98,3179,0
AAA.US,D,20220107,000000,24.97,24.98,24.97,24.98,1563,0
AAA.US,D,20220110,000000,24.975,24.98,24.971,24.98,3644,0
AAA.US,D,20220111,000000,24.97,24.97,24.97,24.97,1573,0
AAA.US,D,20220112,000000,24.97,24.975,24.97,24.975,707,0
AAA.US,D,20220113,000000,24.976,24.98,24.97,24.98,2408,0
AAA.US,D,20220114,000000,24.96,24.965,24.96,24.965,1272,0
AAA.US,D,20220118,000000,24.97,24.97,24.95,24.96,1526,0
AAA.US,D,20220119,000000,24.98,24.98,24.965,24.965,130,0
AAA.US,D,20220120,000000,24.979,24.98,24.97,24.98,3026,0
AAA.US,D,20220121,000000,24.98,24.98,24.965,24.98,3936,0
AAA.US,D,20220124,000000,24.965,24.98,24.95,24.98,2824,0
AAA.US,D,20220125,000000,24.98,24.98,24.965,24.965,335,0
AAA.US,D,20220126,000000,24.97,24.982,24.97,24.97,4327,0
AAA.US,D,20220127,000000,24.98,24.99,24.98,24.99,4148,0
AAA.US,D,20220128,000000,24.99,24.99,24.98,24.99,5231,0
AAA.US,D,20220131,000000,24.99,24.99,24.97,24.99,2626,0
AAA.US,D,20220201,000000,24.97,24.98,24.97,24.98,827,0
AAA.US,D,20220202,000000,24.98,24.98,24.98,24.98,621,0
AAA.US,D,20220203,000000,24.98,24.98,24.96,24.98,905,0
AAA.US,D,20220204,000000,24.975,24.98,24.97,24.98,2881,0
AAA.US,D,20220207,000000,24.98,24.98,24.98,24.98,715,0
AAA.US,D,20220208,000000,24.98,24.98,24.951,24.98,3175,0
AAA.US,D,20220209,000000,24.98,24.98,24.965,24.98,1601,0
AAA.US,D,20220210,000000,24.98,24.985,24.979,24.985,701,0
AAA.US,D,20220211,000000,24.975,25.01,24.96,24.96,22059,0
AAA.US,D,20220214,000000,24.98,24.98,24.95,24.98,1452,0
AAA.US,D,20220215,000000,24.97,24.97,24.96,24.96,1015,0
AAA.US,D,20220216,000000,24.98,24.98,24.98,24.98,529,0
AAA.US,D,20220217,000000,24.98,24.99,24.98,24.99,1695,0
AAA.US,D,20220218,000000,24.985,24.985,24.985,24.985,763,0
AAA.US,D,20220222,000000,24.975,24.98,24.975,24.98,2696,0
AAA.US,D,20220223,000000,25.01,25.01,24.98,24.985,270,0
AAA.US,D,20220224,000000,24.98,24.98,24.97,24.97,5477,0
AAA.US,D,20220225,000000,24.97,24.975,24.97,24.975,185,0
AAA.US,D,20220228,000000,24.88,24.88,24.86,24.87,595,0
AAA.US,D,20220301,000000,24.9771,24.9771,24.975,24.975,484,0
AAA.US,D,20220302,000000,24.9,24.98,24.9,24.95,6291,0
AAA.US,D,20220303,000000,24.965,24.965,24.95,24.95,1332,0
AAA.US,D,20220304,000000,24.919,24.919,24.87,24.9,4076,0
AAA.US,D,20220307,000000,24.88,24.894,24.88,24.894,1304,0
AAA.US,D,20220308,000000,24.9,24.9248,24.9,24.9248,850,0
AAA.US,D,20220309,000000,24.915,24.915,24.8753,24.8753,717,0
AAA.US,D,20220310,000000,24.9,24.9,24.89,24.89,143,0
AAA.US,D,20220311,000000,24.91,24.91,24.91,24.91,30,0
AAA.US,D,20220314,000000,24.9,24.935,24.8766,24.8766,697,0
AAA.US,D,20220315,000000,24.88,24.89,24.88,24.89,1157,0
AAA.US,D,20220316,000000,24.89,24.9,24.8751,24.8751,1735,0
AAA.US,D,20220317,000000,24.86,24.89,24.86,24.89,614,0
AAA.US,D,20220318,000000,24.875,24.88,24.8254,24.88,2514,0
AAA.US,D,20220321,000000,24.8541,24.865,24.8541,24.865,129,0
AAA.US,D,20220322,000000,24.84,24.84,24.84,24.84,56,0
AAA.US,D,20220323,000000,24.83,24.83,24.775,24.775,682,0
AAA.US,D,20220324,000000,24.785,24.785,24.785,24.785,1,0
AAA.US,D,20220325,000000,24.8,24.8,24.785,24.785,428,0
